id,tarefa,equipamento,especialidade,inicio,fim,duracao,penalidade
439,Revisão de motor,Quadriciclo,Elétrica,2,4,2,76
440,Revisão elétrica,Rolo Compressor,Mecânica,1546,1549,3,76
441,Revisão de motor,Carro,Elétrica,869,870,1,16
442,Alinhamento,Quadriciclo,Elétrica,364,366,2,39
443,Revisão de motor,Carro,Elétrica,1442,1445,3,63
444,Revisão de motor,Jet Ski,Elétrica,1395,1398,3,27
445,Alinhamento,Rolo Compressor,Elétrica,334,338,4,83
446,Alinhamento,Quadriciclo,Mecânica,546,550,4,21
447,Revisão de motor,Guindaste,Mecânica,984,988,4,21
448,Alinhamento,Quadriciclo,Elétrica,832,835,3,84
449,Revisão elétrica,Carro,Elétrica,1917,1921,4,14
450,Revisão elétrica,Rolo Compressor,Elétrica,497,501,4,70
451,Revisão de motor,Quadriciclo,Mecânica,1657,1661,4,81
452,Revisão de motor,Quadriciclo,Elétrica,1617,1619,2,65
453,Revisão elétrica,Guindaste,Mecânica,992,996,4,57
454,Revisão de motor,Rolo Compressor,Mecânica,1660,1664,4,87
455,Revisão elétrica,Jet Ski,Mecânica,1422,1425,3,42
456,Revisão elétrica,Carro,Mecânica,1019,1022,3,69
457,Alinhamento,Quadriciclo,Elétrica,614,617,3,64
458,Alinhamento,Quadriciclo,Mecânica,1519,1522,3,19
459,Revisão elétrica,Jet Ski,Mecânica,30,34,4,65
460,Revisão elétrica,Carro,Mecânica,1719,1720,1,14
461,Revisão elétrica,Carro,Elétrica,1262,1263,1,40
462,Alinhamento,Rolo Compressor,Elétrica,1600,1604,4,37
463,Revisão elétrica,Carro,Elétrica,1897,1899,2,97
464,Alinhamento,Carro,Elétrica,655,659,4,95
465,Revisão elétrica,Jet Ski,Elétrica,1538,1539,1,95
466,Revisão de motor,Rolo Compressor,Elétrica,951,952,1,96
467,Revisão elétrica,Rolo Compressor,Mecânica,1991,1992,1,31
468,Alinhamento,Carro,Mecânica,762,764,2,92
469,Revisão de motor,Carro,Mecânica,271,274,3,11
470,Alinhamento,Guindaste,Elétrica,1366,1369,3,56
471,Revisão elétrica,Jet Ski,Mecânica,1457,1459,2,84
472,Alinhamento,Carro,Mecânica,1223,1226,3,76
473,Revisão de motor,Guindaste,Elétrica,542,545,3,39
474,Alinhamento,Rolo Compressor,Elétrica,1551,1555,4,33
475,Alinhamento,Carro,Mecânica,1644,1647,3,95
476,Revisão elétrica,Carro,Mecânica,1461,1463,2,40
477,Alinhamento,Guindaste,Elétrica,1927,1928,1,60
478,Revisão elétrica,Carro,Elétrica,561,563,2,94
479,Revisão de motor,Quadriciclo,Mecânica,857,859,2,93
480,Revisão de motor,Guindaste,Elétrica,1635,1639,4,27
481,Revisão de motor,Carro,Mecânica,1189,1190,1,49
482,Alinhamento,Rolo Compressor,Elétrica,1163,1166,3,94
483,Revisão elétrica,Carro,Mecânica,1905,1909,4,84
484,Alinhamento,Rolo Compressor,Mecânica,468,472,4,50
485,Revisão de motor,Jet Ski,Mecânica,934,935,1,10
486,Revisão de motor,Rolo Compressor,Elétrica,955,956,1,13
487,Alinhamento,Jet Ski,Mecânica,1120,1123,3,42
488,Revisão de motor,Carro,Mecânica,461,462,1,47
489,Revisão elétrica,Jet Ski,Elétrica,304,308,4,24
490,Revisão elétrica,Quadriciclo,Elétrica,41,45,4,17
491,Alinhamento,Jet Ski,Elétrica,1626,1627,1,45
492,Revisão elétrica,Rolo Compressor,Mecânica,384,388,4,55
493,Revisão de motor,Jet Ski,Mecânica,73,76,3,85
494,Revisão de motor,Rolo Compressor,Elétrica,997,1000,3,56
495,Alinhamento,Guindaste,Mecânica,1517,1518,1,54
496,Alinhamento,Quadriciclo,Elétrica,1960,1961,1,11
497,Revisão elétrica,Carro,Mecânica,1449,1452,3,89
498,Alinhamento,Quadriciclo,Mecânica,750,754,4,71
499,Alinhamento,Guindaste,Elétrica,1504,1505,1,93
500,Alinhamento,Rolo Compressor,Elétrica,1761,1764,3,82
